broadcaster_id,country,start_year,end_year
RTSH,Albania,1960,
AMPTV,Armenia,1956,
ORF,Austria,1953,
İTV,Azerbaijan,2005,
RTBF ,Belgium,1977,
VRT ,Belgium,1998,
HRT,Croatia,1956,
CyBC,Cyprus,1969,
ČT,Czech Republic,1992,
DR,Denmark,1951,
ETV ,Estonia,1994,2006
ERR ,Estonia,2007,
YLE,Finland,1958,
TF1 ,France,1956,1981
france-tv,France,1983,
GPB,Georgia,1960,
ARD/NDR,Germany,1956,
ERT,Greece,1974,
NERIT,Greece,2014,2015
RÚV,Iceland,1966,
RTÉ,Republic of Ireland,1961,
IBA,Israel,1973,2017
IPBC,Israel,2018,
RAI,Italy,1944,
LTV,Latvia,1954,
LRT,Lithuania,1957,
RTL,Luxembourg,1984,
PBS,Malta,1975,
RTCG,Montenegro,1964,
NPO ,Netherlands,1951,
NRK,Norway,1960,
TVP,Poland,1952,
RTP,Portugal,1957,
SMRTV,San Marino,1994,
RTS,Serbia,1958,
RTV SLO,Slovenia,1958,
TVE,Spain,1956,
SVR ,Sweden,1958,1958
SR ,Sweden,1959,1979
SVT,Sweden,1980,
SRG SSR,Switzerland,1953,
NSTU,Ukraine,1952,
BBC,United Kingdom,1936,
RTVA,Andorra,1989,2009
BTRC (suspended),Belarus,1956,2019
BHRT,Bosnia and Herzegovina,1961,2016
BNT,Bulgaria,1959,2022
HMG,Hungary,1995,2019
TRM,Moldova,1958,2024
TMC ,Monaco,1959,2006
TVMonaco,Monaco,2024,
SNRT,Morocco,1956,1980
MRT,North Macedonia,2000,2022
TVR,Romania,1956,2023
C1R,Russia,1994,2021
STV ,Slovakia,1994,2010
RTVS,Slovakia,2011,2012
TRT,Turkey,1968,2012
