con_year,host_country,city,venue,final_date
2009,Russia,Moscow,Olimpiyskiy Arena,2009-05-16
2010,Norway,Oslo,Telenor Arena,2010-05-29
2011,Germany,Düsseldorf,Düsseldorf Arena,2011-05-14
2012,Azerbaijan,Baku,Baku Crystal Hall,2012-05-26
2013,Sweden,Malmö,Malmö Arena,2013-05-19
2014,Denmark,Copenhagen,B&W Hallerne,2014-05-10
2015,Austria,Vienna,Wiener Stadthalle,2015-05-23
2016,Sweden,Stockholm,Globe Arena,2016-05-14
2017,Ukraine,Kyiv,International Exhibition Centre,2017-05-13
2018,Portugal,Lisbon,Lisbon Arena,2018-05-12
2019,Israel,Tel Aviv,Expo Tel Aviv,2019-05-18
2020,Netherlands,Rotterdam,Rotterdam Ahoy,2020-05-16
2021,Netherlands,Rotterdam,Rotterdam Ahoy,2021-05-22
2022,Italy,Turin,PalaOlimpico,2022-05-14
2023,United Kingdom,Liverpool,Liverpool Arena,2023-05-13
