con_year,host,city,venue,final_date,,,
2009,Russia,Moscow,Olimpiyskiy Arena,5/16/2009,,,
2010,Norway,Oslo,Telenor Arena,5/29/2010,,,
2011,Germany,Düsseldorf,Düsseldorf Arena,5/14/2011,,,
2012,Azerbaijan,Baku,Baku Crystal Hall,5/26/2012,,,
2013,Sweden,Malmö,Malmö Arena,5/19/2013,,,
2014,Denmark,Copenhagen,B&W Hallerne,5/10/2014,,,
2015,Austria,Vienna,Wiener Stadthalle,5/23/2015,,,
2016,Sweden,Stockholm,Globe Arena,5/14/2016,,,
2017,Ukraine,Kyiv,International Exhibition Centre,5/13/2017,,,
2018,Portugal,Lisbon,Lisbon Arena,5/12/2018,,,
2019,Israel,Tel Aviv,Expo Tel Aviv,5/18/2019,,,
2020,Netherlands,Rotterdam,Rotterdam Ahoy,5/16/2020,,,
2021,Netherlands,Rotterdam,Rotterdam Ahoy,5/22/2021,,,
2022,Italy,Turin,PalaOlimpico,5/14/2022,,,
2023,United Kingdom,Liverpool,Liverpool Arena,5/13/2023,,,
,,,,,,,`
